,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.00031204269370730536,0.0006878283102795639,0.0002828995720475331,0.00017772582573783802,4.719869576623924e-05
eeg.f7,0.00041747940982836754,0.0008917992431136182,0.00035422140414725217,0.0003033333671472447,0.00010760821613986168
eeg.f3,0.00014123432085905684,0.0002526468754896101,0.00012260845754359607,6.31697329157567e-05,1.2020038139538453e-05
eeg.fc5,0.0004006047198530649,0.0009874303916159594,0.00045257622275775115,0.00032084928159103,9.562514490789884e-05
eeg.t7,0.0004943353913175116,0.0021188171581967494,0.0007110076224565998,0.00032004714932661114,3.312687682083344e-05
eeg.p7,0.000790690225052626,0.0022776615738637554,0.0009573529330462842,0.0005400574335703097,0.0001041579234349862
eeg.o1,0.0005581082902987589,0.002033986961988768,0.0006151138662875699,0.0003126878276094833,3.7364585312054836e-05
eeg.o2,0.00023062581482307526,0.0005882730421143297,0.00024394897559505517,0.00020495715925293915,6.062969063254809e-05
eeg.p8,0.00015675777806619176,0.00028303309242468794,0.00014419410565788288,0.00012740203061977244,4.2795526197871204e-05
eeg.t8,0.0006786902535554917,0.001965148812724249,0.0007027404599902788,0.00031292533628419,5.408195202993004e-05
eeg.fc6,0.0002415496415329385,0.0005220301926785013,0.00022398429980001987,0.00018836034480018227,6.948344962358668e-05
eeg.f4,0.0001542501063307375,0.00025864468289637545,0.00011961070032839123,7.852423074976208e-05,2.080581567049076e-05
eeg.f8,0.0006080072992631358,0.0011846126149035047,0.0004524834190893119,0.00038073667390328453,0.0001342601330693283
eeg.af4,0.0007066130859555847,0.0013654586264155374,0.000545470147113921,0.00044036425652595104,0.00015349507061777933
