,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.0009110138252465122,0.0011348684697850137,0.000346198019343269,0.00020408524920566924,4.5161112201388775e-05
eeg.f7,0.0008850230864142494,0.001360582701422225,0.0003758133993091578,0.00027024676652731864,8.97253180045279e-05
eeg.f3,0.00042775312923894887,0.0008289903747884797,0.00036824778366577327,0.00027709920687052055,6.845769733755842e-05
eeg.fc5,0.0004691338712428661,0.0010013432547329448,0.0004151830712410681,0.0004070607032495245,0.00013306249248689348
eeg.t7,0.0004925000070225491,0.0010629818993580231,0.00042139779018170176,0.0002188924595701927,4.342605075631549e-05
eeg.p7,0.0004480641812259212,0.0011470816115896343,0.00045778924832148155,0.00022337788881157737,4.0445492965666426e-05
eeg.o1,0.00044774180483970333,0.0010617780735031335,0.0004456760855704664,0.0002073780931369782,3.364720525081234e-05
eeg.o2,0.0007525709352157045,0.001203683647572798,0.0006214089448281848,0.000438489311143831,0.00010985792713890915
eeg.p8,0.0007606841495031158,0.0015327522233353763,0.000799204931413465,0.0004407824232400114,0.000126162441597064
eeg.t8,0.00041935180170443037,0.0009619149728839413,0.00039069402769575934,0.00020720813074805102,4.4670738030209664e-05
eeg.fc6,0.00012665523723833297,0.00025664822552667194,0.00011186008468113198,9.312116841008226e-05,2.8588928231319002e-05
eeg.f4,0.00026747379028539686,0.0005051529634696253,0.00018603433486586926,0.00015197505542632493,4.0299510075767365e-05
eeg.f8,0.000990609063199005,0.0017341483048401996,0.000603743799324527,0.00052350277837559,0.00020078944497299654
eeg.af4,0.0012874205462157645,0.0014643902276195858,0.00041644211419052113,0.000274891157422027,7.912616761021363e-05
