,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.0003557192657674922,0.00044086471291334556,0.0001049315747261555,6.651875319821577e-05,2.9764548243468556e-05
eeg.f7,0.0003228097223499909,0.00040374729845790713,0.00011414606813905503,7.32366217210702e-05,3.3789297937952377e-05
eeg.f3,0.00020099425203388976,0.00019212204319362866,5.8809870275878e-05,4.778583061193145e-05,2.0605329264160493e-05
eeg.fc5,0.00020926284325662077,0.0002023210841812454,6.587681292330666e-05,6.042753236754295e-05,3.111715066136238e-05
eeg.t7,0.00020340839500075127,0.0003663052191051584,0.00010849463733390722,0.00013423063306401825,7.176487643207431e-05
eeg.p7,9.871482417067937e-05,0.00018136725464815585,6.450296040528755e-05,4.2246908547852364e-05,1.878097433635136e-05
eeg.o1,0.0002930159139362398,0.00043065892535859573,0.00013555879523849748,0.00011973639183961648,5.5986778595158495e-05
eeg.o2,0.00019044430222115057,0.0002725092318803593,9.34885671935318e-05,0.00010265934119569806,5.459183304780449e-05
eeg.p8,0.0001364689122392449,0.0002345687216789849,9.878859791866883e-05,0.00011198555961617316,6.381499250396848e-05
eeg.t8,0.00026242792467538745,0.0003963526387647416,0.00016058445095578234,0.0002125976697529852,0.00013345124717663716
eeg.fc6,0.0005790670416790794,0.0008697924123783618,0.00038863464602085195,0.00045072746081849897,0.0002210452146696255
eeg.f4,0.0005290777156946418,0.0007225653746993285,0.0003060738982612384,0.0003590649935737212,0.0001718884690619609
eeg.f8,0.00032770141291463446,0.0006476667185162377,0.00020960950909507808,0.0002642123680290736,0.00014912097299116486
eeg.af4,0.0003073355499822253,0.0005882702762577234,0.00020759884286531555,0.00021156466898084687,0.0001091248803978028
