,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.0006631254236124003,0.0008893432629742548,0.00021196754264212557,0.00013664817972362618,5.615863875615017e-05
eeg.f7,0.0007380423906621404,0.000967938704052366,0.0002443212717936926,0.00018470358049850195,0.00010105850399269834
eeg.f3,0.00019158998209840118,0.0002776538101526464,0.00010268995620332087,8.172960432874029e-05,3.095712350940643e-05
eeg.fc5,0.0003523522393307291,0.0003562001846767488,0.0001250878869077737,0.0001168415782355196,5.484514331835575e-05
eeg.t7,0.00044042347079426046,0.00040744796071063655,0.00010411125878190394,8.009292034318848e-05,2.9069742891555688e-05
eeg.p7,0.0008828322126316704,0.0008167764027852052,0.00034204435555226244,0.00022903059349935756,9.162025985555006e-05
eeg.o1,0.0003049766450133307,0.000237527830346907,0.00020061551189105427,7.109783125956612e-05,2.9389113879349767e-05
eeg.o2,0.0007524520638773349,0.0006122233787434694,0.0005895101534593888,0.0002378453645548405,9.992683104694302e-05
eeg.p8,0.0020181631848105548,0.0017854516256505173,0.0009064578060385746,0.0007342255838471461,0.0003644240727819242
eeg.t8,0.00046697310239014446,0.00041457997824144167,0.00012409807749654865,0.00010555302271098729,4.389880069652595e-05
eeg.fc6,0.0018879907973203178,0.0015370510266823835,0.0005337860165693012,0.0005721643953474787,0.0003164775448384029
eeg.f4,0.0008135110027224967,0.0007309747102115655,0.00020321924657719907,0.00016885195641307265,6.64349582313733e-05
eeg.f8,0.000959691974762521,0.0008917416666312713,0.00026001038491204443,0.00024233097533252836,0.00012213384512216148
eeg.af4,0.0012076542956991501,0.0013019918385482913,0.00024045606921352727,0.00023749096811768327,0.00015205915430533228
