,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.0008118683715453399,0.001715562518952718,0.0003228691640464335,0.00019098731121118545,3.945056809607274e-05
eeg.f7,0.0006399087137591401,0.001250604535248348,0.00032051219431993797,0.0003300208321698866,0.00012273460766265473
eeg.f3,0.0006375499373896774,0.0014256697831557148,0.0003214704763594349,0.00023237963923747914,5.926045074505341e-05
eeg.fc5,0.0008457377112267433,0.001100028303621603,0.000335163413147147,0.00033014299092023395,9.804034674705764e-05
eeg.t7,0.00047804960342046586,0.0005488160051355844,0.00018256537320371965,0.00023135267152809847,9.319721957342508e-05
eeg.p7,0.0007850103509649091,0.0012825898377090174,0.00043852493945771304,0.0006326250159126763,0.00023741526403714267
eeg.o1,0.0006794964718135812,0.0013278509354805249,0.0004023875999310967,0.00041744331191319686,0.00016485483500883218
eeg.o2,0.0009400878335443646,0.0014266447584305314,0.000457162479567735,0.0003854231059117353,0.00011607356956524364
eeg.p8,0.0004304326869288694,0.0009229839074831013,0.0002998180279494369,0.0003767838384988064,0.00018330676770947718
eeg.t8,0.000474959835994963,0.0008125989837891451,0.0002116987549709696,0.0002853603202531089,0.00012241408652618059
eeg.fc6,0.00059439751249429,0.0009691740859701786,0.0002689465245204548,0.00031203108647878143,0.00013602015955123547
eeg.f4,0.0007559811826289772,0.0011097654972872066,0.0002969654661891582,0.0004478008600210591,0.0002702676340114124
eeg.f8,0.00041501281436763515,0.0006381712914430727,0.0001687902268761505,0.00021135537898141503,9.409399550485492e-05
eeg.af4,0.0007230973084073611,0.0009978117227217812,0.0003285101881659097,0.00019624794956786372,8.147074923008218e-05
