,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.0003142184353774353,0.0005859084184751603,0.00019379161161762765,0.00019264711117041207,8.80212658654587e-05
eeg.f7,0.0002866744102750871,0.0005808888489245226,0.0002231836705408937,0.00025936770254297555,0.00015319645278021095
eeg.f3,0.0002093020924507031,0.0004009202719550027,0.00018172738127949627,0.00039654537924998113,0.0003208295885474711
eeg.fc5,0.00010847874832890184,0.00022059962249369822,0.00011828304016288545,0.00012231855810686395,8.432910008069242e-05
eeg.t7,9.454329032186366e-05,0.00016900678797864867,9.776262445484367e-05,0.00015041226803217192,8.571665435728142e-05
eeg.p7,0.00019861520753287204,0.0005843984702108562,0.00047696140634189907,0.0010178299786455947,0.0006656590354200137
eeg.o1,5.066881942485807e-05,0.0001316538330008261,9.79955731831737e-05,0.00021763298790113453,0.00016908042234811747
eeg.o2,7.293162427091235e-05,0.00015878100957352013,0.00011395949356240564,0.00022322362632179785,0.00016809503762307642
eeg.p8,0.0001078180567701632,0.0002780852307036688,0.00023534740033898192,0.0005305066233303396,0.0003761235997400528
eeg.t8,8.769752833957334e-05,0.00018829571083724302,0.00014836056084450034,0.00032734561271972407,0.0001950620581907419
eeg.fc6,0.00034066809383898056,0.0007837450466474452,0.0003561785055018925,0.0004663278625417471,0.0002510376521517129
eeg.f4,0.0003107150394058185,0.000746936005789664,0.00030101191075625113,0.0003649994469872562,0.0001696693411021664
eeg.f8,0.00029291754176984444,0.0007495419298112066,0.000321937417886416,0.0004001341621479291,0.0002110076985339961
eeg.af4,0.0004554878858493705,0.0009776747983626932,0.00030617999956957225,0.00024184640956114258,0.00012081893041776393
