,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
Ch1,13.794187805784382,3.2385189063214304,18.053600208076574,4.259412402292192
Ch2,10.946200070245816,3.8654782476184475,13.777984200165601,2.831784129919786
Ch3,6.758044282182052,4.440972725919046,8.279792869051008,1.521748586868955
Ch4,9.933198152775883,3.9097181730878616,12.473841150932747,2.540642998156865
Ch5,8.018389514241983,3.18816881736452,10.533434954543438,2.5150454403014546
Ch6,10.060842044673922,4.697077601262558,12.202778478079926,2.141936433406004
Ch7,9.766237480851613,3.780089811639743,12.349836718109204,2.583599237257591
Ch8,7.6523313031746,3.195082565665093,10.047365247905278,2.395033944730678
Ch9,4.784287386233405,2.605778542352711,6.620317300397646,1.8360299141642413
Ch10,11.789765772041477,3.207958442098971,15.464927362303566,3.6751615902620887
Ch11,5.124259471330173,2.524530639142531,7.15404645951296,2.0297869881827872
Ch12,8.098554972004088,2.9955912753133083,10.802046230772113,2.703491258768025
Ch13,4.8831522522550594,2.6527919571712038,6.723911835851577,1.840759583596517
Ch14,10.276488200195683,3.940593905232757,12.884340818766688,2.607852618571004
