,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
Ch1,159.80367032615044,165.79267204509117,5.989001718940743,26.682855928779393
Ch2,102.25806851973945,107.69188894979719,5.4338204300577475,18.81881626660281
Ch3,21.040384022200836,25.73050615094457,4.690122128743735,4.486105762047751
Ch4,174.32494201748707,183.0870046407711,8.762062623284049,19.895422940109828
Ch5,125.71236996849363,132.39769475487856,6.6853247863849194,18.80422770269855
Ch6,53.98016075751961,58.42831956885037,4.4481588113307575,12.135394160702448
Ch7,284.2450702992316,293.3989878274471,9.15391752821554,31.05174027171734
Ch8,151.8493007235902,157.9984556828354,6.149154959245204,24.694336270398793
Ch9,27.315091801513503,30.64622533079534,3.3311335292818343,8.19993899978564
Ch10,35.448997850213374,37.882543099794255,2.4335452495808756,14.566812589454408
Ch11,116.67423308506075,122.875453232453,6.201220147392244,18.814721974709887
Ch12,232.55090797430628,238.4339130869509,5.883005112644628,39.52927163014817
Ch13,107.57683155473653,112.95590696206926,5.379075407332733,19.99913057028778
Ch14,137.8131878197893,144.36476188518623,6.551574065396945,21.035126255712136
